question,answer
"How should I put on, wear and take off a medical mask?","How to put on and take off a medical mask: Before touching the mask, clean your hands with an alcohol-based hand rub or soap and water. Inspect the mask for tears or holes; do not use a mask that has previously been worn or is damaged. Verify which side is the top – this is usually where the metal strip is. Then, identify the inside of the mask, which is usually the white side. Place the mask on your face covering your nose, mouth and chin, making sure that there are no gaps between your face and the mask. Place the straps behind your head or ears. Do not cross the straps because this can cause gaps on the side of the mask. Pinch the metal strip so it moulds to the shape of your nose. Remember, do not touch the front of the mask while using it to avoid contamination; if you accidentally touch it, clean your hands. How to take off a medical mask: Before touching the mask, clean your hands with an alcohol-based hand rub or soap and water. Remove the straps from behind the head or ears, without touching the front of the mask. As you remove the mask, lean forward and pull the mask away from your face.  Medical masks are for single use only; discard the mask immediately, preferably into a closed bin. Clean your hands after touching the mask. Be aware of the condition of the mask; replace it if it gets soiled or damp."
Should I wear a mask while exercising?,"Even when you’re in an area of COVID-19 transmission, masks should not be worn during vigorous physical activity because of the risk of reducing your breathing capacity. No matter how intensely you exercise, keep at least 1 metre away from others, and if you’re indoors, make sure there is adequate ventilation."
How large does a meeting or event need to be in order to be a “mass gathering”?,"High profile international sporting events such as the Olympics or World Cups as well as international religious events such as the Hajj count as mass gatherings. However, lower profile conferences and events can also meet WHO’s definition of a mass gathering. An event counts as a “mass gatherings” if the number of people it brings together is so large that it has the potential to strain the planning and response resources of the health system in the community where it takes place. You need to consider the location and duration of the event as well as the number of participants. For example, if the event takes place over several days in a small island state where the capacity of the health system is quite limited then even an event with just a few thousand participants could place a big strain on the health system and then be considered a “mass gathering” event. Conversely, if the event is held in a big city in a country with a large, well-resourced health system and lasts just a few hours, the event may not constitute a “mass gathering” event."
Does WHO recommend that all international mass gatherings be cancelled because of COVID-19?,"No. As each international mass gathering is different, the factors to consider when determining if the event should be cancelled may also differ. Any decision to change a planned international gathering should be based on a careful assessment of the risks and how they can be managed, and the level of event planning. The assessment should involve all stakeholders in the event, and in particular the health authorities in the country or community where the event is due to take place. These authorities and stakeholders are in the best position to assess the level of stress the event might place on the local health system and emergency services – and whether this level of stress is acceptable in the current situation.   It is WHO’s view that all countries with community transmission should seriously consider postponing or reducing mass gatherings that bring people together and have the potential to amplify disease and support the recommended best practice of physical distancing. Any decision will be supported through the use of WHO tools, in particular the Risk Assessment for Mass Gatherings during COVID-19.   If movement restrictions and further national measures have been established in the country, the WHO RA does not apply. However, when the process of re-opening/conducting mass gatherings is being considered post movement restrictions, it will be key to ensure any decisions are based on a risk assessment, such as the WHO Mass gatherings COVID-19 risk assessment."
What factors should organizers and health authorities look at when assessing whether the risks are acceptable or not?,"For countries not currently known to be experiencing community transmission of COVID-19, the priority consideration will be whether the planned mass gathering event substantially increases the risk of the virus entering the country and becoming established, as well as the risk for participants to importing infection back to their home country and further increasing global spread. In making this assessment, the organizers and their national or local health authorities should recognize that the risk of imported cases of COVID-19 is naturally linked to international travel. They should also recognize that it is neither realistic or desirable to aim for zero risk. When organizers and health authorities are determining whether to hold a mass gathering, they should determine what is an acceptable risk and what additional measures should be implemented to mitigate the risks. For countries where COVID-19 has already started to spread in the community, key consideration will be:  aiming at containing or at least slowing down the spread of the virus in the local community/country. preventing participants from other countries being infected with COVID-19   In each case the risk should be considered in the context of the known features of COVID-19, its severity, its transmissibility and the effectiveness of measures to prevent or reduce transmission. The strain already placed on the local health system in responding to COVID-19 outbreak(s), and the additional strain the mass gathering might place on the system also need to be taken into account. You can find more advice on what to look at in the WHO document  Key planning recommendations for Mass Gatherings in the context of the current COVID-19 outbreak  of 14 February 2020. See:  https://www.who.int/publications-detail/key-planning-recommendations-for-mass-gatherings-in-the-context-of-the-current-covid-19-outbreak  "
What if my organization does not have the expertise to assess the risks COVID-19 poses for our planned mass gathering?,The national and local public health authorities in the country where you plan to hold the mass gathering will most likely know how to conduct a health risk assessment. If there is a WHO Country Office there they may also be able to provide some expert support. So too might the WHO Regional Office in your part of the world. You can find the names and contact details of the WHO Regional Offices at  https://www.who.int/about/who-we-are/regional-offices  
"If we go ahead with an international mass gathering, what can we do to reduce the risk of participants catching COVID-19?","Promote hand washing, respiratory hygiene and social distancing at the event. Make sure you have emergency contact details for all participants, including where they are staying during the event. You should make it clear to them that this information will be shared with the local public health authorities to enable rapid contact tracing if a participant at the event becomes ill with COVID-19. The event organisers need to have an agreed preparedness plan in case one or more participants become ill with COVID-19 symptoms. This should include rapid isolation of the ill person and their safe transfer to a local health facility. You should consider whether the number of participants at the event could be reduced, making available participation by video or teleconference and possibly screening participants for COVID-19 symptoms (cough, fever, malaise) at points of entry to the venue. You can find advice on how individual participants can protect themselves and their loved ones from COVID-19 at:  https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public"
Where can I find more advice on assessing and managing health risks around international mass gatherings?,"WHO has produced guidance and also a training course on how to plan for a mass gathering. The guidance and the course both look at how to conduct a risk assessment, plan for and manage health risks in partnership with the local authorities:  https://www.who.int/emergencies/diseases/novel-coronavirus-2019/technical-guidance/points-of-entry-and-mass-gatherings   You can find advice to give individual participants on how to protect themselves and their loved ones from COVID-19 at:  https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  "
What should be the criteria for excluding an athlete or other accredited participant from competing?,"Agreed health criteria are needed for the exclusion of athletes from competing and for allowing them to return to competition wherever appropriate. These should be consistent with public health guidelines for the general population, with risk profiles based on recent travel to high-risk community transmission zones, recent contact with individuals diagnosed with or suspected of having COVID-19, current symptomatology, etc. Athletes who are feeling unwell should not participate in events. If testing of athletes has been agreed with the local public health service there is a need to consider test availability, time taken for receipt of test results and host-country health services capacity.  Criteria for exclusion of officials/judges from competition and for allowing them to return to competition where appropriate should follow  guidance and criteria for the workplace . Requirements for the attendance of all athletes and other accredited participants should be put in place: –   health check: travel declaration and temperature screening –   contact tracing protocols ready (with all details of those present)  –   allowing extra spacing (physical distancing) –   following all hygiene precautions.   Isolation procedures for athletes and other accredited participants (e.g. field-of-play staff, medical teams, officials who have close contact with the athletes) who feel unwell or become symptomatic should be clear and documented and rehearsed prior to holding the event, especially for higher risk sports, e.g. contact sports. "
Should event organizers arrange screening at venues beyond national government requirements for point of entry (PoE)?,"Temperature screening alone, at exit or entry, is not an effective way to stop international spread, since infected individuals may be in incubation period, may not express apparent symptoms early on in the course of the disease, or may dissimulate fever through the use of antipyretics; in addition, such measures require substantial investments for what may bear little benefits. It is more effective to provide prevention recommendation messages to travellers and to collect health declarations at arrival, with travellers’ contact details, to allow for a proper risk assessment and a possible contact tracing of  incoming travellers .  Event organizers should also consider the capacity to undertake this and the management of suspected cases. However, sporting organizations may have criteria for participation that are stricter than government requirements for Ports of Entry into the country that are based on event risk assessment, including organizers' healthcare capacity. Any additional screening questionnaires for participation in events need to be aligned with public health agencies in the jurisdiction. There is a need to consider how to manage different groups – athletes, officials and spectators, and the large numbers of individuals likely to arrive at a sporting event from many oversea countries – and to follow both host country and  WHO travel advice  and to assess whether there is difficulty in obtaining accurate information about the travel history of those individuals. "
Should event organizers provide COVID-19 testing?,"No, testing should be conducted in accordance with local health providers and national guidance.  Anyone unwell or symptomatic should not be allowed to participate in the event. Establish close collaboration with local public health authorities well before the event, to facilitate testing for athletes, officials or spectators who meet pre-agreed suspect cases definitions.  Consider host-country health service capacity to manage any COVID-19 activity, and other public health issues happening at the event over and above its own national pandemic response. "
Are there additional safeguards event organizers can implement or recommend to athletes/officials/visitors in the context of COVID-19?,"Follow standard preventative advice to the general public, including physical distancing, in the athletes’ village. Also promote: signage, digital messaging to all participants and their entourages about COVID-19 and how to prevent infection regular disinfection and cleaning of surfaces, in venues and in personal spaces  non-sharing of equipment and cleaning of equipment after each user. Organizers are recommended to develop a checklist (include hand gels stations, hygiene facilities, etc.). See the event mitigation recommendations checklist for event organizers above. "
What are the risks arising from public transport to the venue(s)?,The extra risk from participants and spectators travelling on public transport in a major city may not be significant compared to the ongoing risk to the local population using the transport all the time if physical distancing is not possible on public transport.
What is post COVID-19 condition?,"Post COVID-19 condition, also known as “long COVID,” refers collectively to the constellation of long-term symptoms that some people experience after they have had COVID-19. People who experience post COVID-19 condition sometimes refer to themselves as “long-haulers.”  While most people who develop COVID-19 fully recover, some people develop a variety of mid- and long-term effects like fatigue, breathlessness and cognitive dysfunction (for example, confusion, forgetfulness, or a lack of mental focus and clarity). Some people also experience psychological effects as part of post COVID-19 condition.  These symptoms might persist from their initial illness or develop after their recovery. They can come and go or relapse over time. Post COVID-19 condition can affect a person’s ability to perform daily activities such as work or household chores. "
How is post COVID-19 condition defined?,"Post COVID-19 condition is defined as the illness that occurs in people who have a history of probable or confirmed SARS-CoV-2 infection; usually within three months from the onset of COVID-19, with symptoms and effects that last for at least two months. The symptoms and effects of post COVID-19 condition cannot be explained by an alternative diagnosis. Read the clinical case definition.  "
What are common symptoms of post COVID-19 condition (AKA long COVID)?,"The most common symptoms of post COVID-19 condition include: Fatigue Shortness of breath or difficulty breathing Memory, concentration or sleep problems  Persistent cough Chest pain Trouble speaking Muscle aches Loss of smell or taste Depression or anxiety Fever People with post COVID-19 condition, also known as “long COVID”, may have difficulty functioning in everyday life. Their condition may affect their ability to perform daily activities such as work or household chores."
What should I do if I had COVID-19 and am experiencing symptoms and effects like those described as post COVID-19 condition?,"If you think you may have developed post COVID-19 condition, consult and seek care from your healthcare provider. They will help you to determine whether this is the case, and to provide you with the care you need to manage your symptoms.   At present, there is no specific medication therapy for people with post COVID-19 condition. However, there is data suggesting that holistic care, including rehabilitation, can be helpful. We are continuing to learn why some people develop this condition, the mechanisms behind the development of post COVID-19 condition and how to best manage it. "
Who is most at risk of developing post COVID-19 condition?,Anyone who becomes ill with COVID-19 can develop post COVID-19 condition. Post COVID-19 condition is being studied by many experts around the world and our knowledge and understanding of post COVID-19 condition is growing.  Current research shows that approximately 10%-20% of COVID-19 patients go on to develop prolonged symptoms that may be post COVID-19 condition.  There does not appear to be a relationship between the initial severity of COVID-19 infection and the likelihood of developing post COVID-19 condition.
When do symptoms of post COVID-19 condition occur?,"Symptoms of post COVID-19 condition can persist from the initial illness, or begin after recovery. Symptoms may come and go or relapse over time.   Post COVID-19 condition is usually diagnosed three months after COVID-19.  This allows the healthcare provider to rule out the normal recovery process after illness. The symptoms and effects last for at least two months.  We are still learning about COVID-19 and post COVID-19 condition. "
"If I had a confirmed case of COVID-19 and I’m still experiencing symptoms, how long would it take before I could be diagnosed with post COVID-19 condition?","At present, the minimum time before a person is diagnosed with post COVID-19 condition is usually three months after they first developed symptoms of COVID-19. The three-month time period rules out the normal recovery process after illness."
How long does post COVID-19 condition last?,"It is difficult to predict how long post COVID-19 condition will last for any given patient. There is much to learn about post COVID-19 condition, but current research shows that patients can experience lingering symptoms for weeks to months following COVID-19. The research also shows that patients can improve with time."
What can I do to protect myself against post COVID-19 condition?,"The best way you can protect yourself against post COVID-19 condition is by doing everything you can to avoid getting infected with the COVID-19 virus. This includes getting vaccinated and following the many public health and social measures that can reduce your chances of getting infected and spreading the COVID-19 virus.  The best way to protect yourself against COVID-19 is to do a combination of actions, and as WHO commonly says ""Do it all!"", including: Keep physical distance of at least 1 metre from others Wear a well-fitted mask over your nose and mouth Open windows  Cough or sneeze into your elbow Clean your hands frequently  Get vaccinated as soon as it is your turn"
Does getting vaccinated prevent post COVID-19 condition?,"Research is ongoing. A vaccine’s ability to prevent post COVID-19 condition depends on its ability to prevent COVID-19 in the first place. The vaccines we use today are aimed at preventing severe disease and death from COVID-19. However, some people may still get infected with COVID-19 even after they are vaccinated. "
"If I have post COVID-19 condition, can I give it to others?","No, post COVID-19 condition cannot be passed to others, Post COVID-19 condition is a long-term condition following infection with the virus that causes COVID-19. "
Are pregnant women at higher risk from COVID-19?,"Pregnant women do not seem to be at higher risk of getting SARS-CoV-2, the virus that causes COVID-19. However, studies have shown an increased risk of developing severe COVID-19 if they are infected, compared with non-pregnant women of a similar age. COVID-19 during pregnancy has also been associated with an increased likelihood of preterm birth.  Pregnant women who are older, overweight or have pre-existing medical conditions such as hypertension (high blood pressure) and diabetes are at particular risk of serious outcomes of COVID-19.   It is important that pregnant women – and those around them – take precautions to protect themselves against COVID-19. If they become unwell (including with fever, cough or difficulty breathing), they should seek urgent medical advice from a health worker. "
I’m pregnant. How can I protect myself against COVID-19?,"Pregnant women should take the  same precautions  to avoid COVID-19 infection as other people. Measures to protect yourself – and those around you – include: getting vaccinated; keeping space between yourself and other people, and avoiding crowded spaces; keeping rooms well ventilated; wearing a mask where it is not possible to keep sufficient physical distance from others; washing your hands frequently with an alcohol-based hand rub or soap and water; and practicing respiratory hygiene. This means covering your mouth and nose with your bent elbow or tissue when you cough or sneeze. Then dispose of the used tissue immediately. If you have fever, cough or difficulty breathing, seek medical care early. Call before going to a health facility and follow the directions of your local health authority. Pregnant women and women who have recently delivered should attend their routine care appointments according to local policies and following adapted measures to reduce possible transmission of the virus. "
Should pregnant women be tested for COVID-19?,"Testing protocols and eligibility during pregnancy vary depending on where you live. However, WHO recommendations are that pregnant women with symptoms of COVID-19 should be prioritized for testing. If they have COVID-19, they may need specialized care. "
Can COVID-19 be passed from a woman to her unborn or newborn baby?,"Transmission of the virus while your baby is in the womb or during birth is possible, but very rare. Most babies won’t develop COVID-19 disease, and those who develop symptoms tend to recover quickly.  Babies can be infected after birth, so if you do get COVID-19, it is important for you and other caregivers to take all precautions to reduce the risks of passing the virus to the baby.  Babies can be placed skin-to-skin and breastfed if the mother is confirmed or suspected to have COVID-19. The numerous benefits of skin-to-skin contact and breastfeeding  substantially outweigh  the potential risks of transmission and illness associated with COVID-19."
"What care should be available during pregnancy, childbirth and the postnatal period?","All pregnant and postpartum women and their newborns, including those with confirmed or suspected COVID-19 infections, have the right to high quality care before, during and after childbirth, including mental health care. A safe and positive childbirth experience includes: being treated with respect and dignity having a companion of choice present during delivery clear communication by maternity staff appropriate pain relief strategies mobility in labour where possible, and birth position of choice. If COVID-19 is suspected or confirmed, health workers should take all appropriate precautions to reduce risks of infection to themselves and others, including hand hygiene and appropriate use of protective clothing like gloves, gown and medical mask."
Do pregnant women with suspected or confirmed COVID-19 need to give birth by caesarean section?,No. WHO advice is that caesarean sections should only be performed when medically justified. The mode of birth should be individualized and based on a woman’s preferences alongside obstetric indications.
Can I touch and hold my newborn baby if I have COVID-19?,"Yes. Close contact and early, exclusive breastfeeding helps a baby to thrive. You should be supported to breastfeed safely, with good respiratory hygiene hold your newborn skin-to-skin share a room with your baby."
Can pregnant women get vaccinated against COVID-19?,"Yes, pregnant women  can be vaccinated  against COVID-19.    COVID-19 vaccines offer strong protection against severe illness, hospitalization and death from COVID-19. Vaccination during pregnancy is important whenever there is risk of the disease, but especially for frontline health workers, people living in areas where there is high community transmission, and those with health conditions like hypertension (high blood pressure) and diabetes that add to risk of severe disease.    Some evidence also suggests that babies may receive protective benefits from the vaccine, in addition to the benefits for pregnant women. Pregnant women in many countries around the world have now received COVID-19 vaccines, and no safety concerns have been identified related to their pregnancies or the health of their babies. None of the COVID-19 vaccines authorized to date use live viruses, which are more likely to pose risks during pregnancy."
What is COVID-19?,"COVID-19 is a disease caused by a new coronavirus, which has not been previously identified in humans. In most cases, COVID-19 causes mild symptoms including dry cough, tiredness and fever, though fever may not be a symptom for some older people. Other mild symptoms include aches and pains, nasal congestion, runny nose, sore throat or diarrhoea. Some people become infected but don’t develop any symptoms and don't feel unwell. Most people recover from the disease without needing special treatment. Around 1 out of every 6 people who get COVID-19 becomes seriously ill and has difficulty breathing. "
How is COVID-19 transmitted?,"People can catch COVID-19 from others who have the virus. The disease can spread from person to person through small droplets from the nose or mouth, which are spread when a person with COVID-19 coughs or exhales. These droplets land on objects and surfaces around the person. Other people then catch COVID-19 by touching these objects or surfaces, and then touching their eyes, nose or mouth. People can also catch COVID-19 if they breathe in droplets from a person with COVID-19 who coughs out or exhales droplets. "
Who is at risk of developing severe disease?,"Older people, and people of all ages with pre-existing medical conditions (such as diabetes, high blood pressure, heart disease, lung disease, or cancer) appear to develop serious illness more often than others."
"Is there a vaccine, drug or treatment for COVID-19?","While some western, traditional or home remedies may provide comfort and alleviate symptoms of mild COVID-19, there are no medicines that have been shown to prevent or cure the disease. WHO does not recommend self-medication with any medicines, including antibiotics, as a prevention or cure for COVID-19. However, there are several ongoing clinical trials of both western and traditional medicines. WHO is coordinating efforts to develop vaccines and medicines to prevent and treat COVID-19 and will continue to provide updated information as soon as research results become available."
What can I do to prevent infection?,"To prevent infection, there are a five things that you can do. 1.  Wash your hands frequently and thoroughly with soap and water and dry them thoroughly.  You can also use alcohol-based hand rub if your hands are not visibly dirty and if this product is available. Cleaning your hands frequently will remove the virus if it is on your hands. You can learn how to wash your hands in  this video  (or  this visual ). If an alcohol-based hand rub or soap is not available, then using chlorinated water (0.05%) for handwashing is an option, but it is not ideal because frequent use may irritate your skin.  2.  Cover your mouth and nose with a flexed elbow or tissue when coughing and sneezing .  And remember to throw away the used tissue immediately in a bin with a lid and to wash your hands. This way you protect others from any virus released through coughs and sneezes. 3.  Avoid touching your eyes, nose and mouth.  Hands touch many surfaces which can be contaminated with the virus. If you touch your eyes, nose or mouth with unclean hands, you can transfer the virus from the surface to yourself. 4.  Keep physical distance from others.   If your national or local authorities have put in place confinement measures, it is important to respect them. Taking exercise outside is good for your physical and mental health, but should only be undertaken if regulations for your area allow it. When you do go out, avoid crowded spaces and maintain at least 1 metre distance (3 feet or arms-length) from others. Avoid unnecessary visits to your house. If visits are necessary (e.g. caregiver to support with activities of daily living), ask your visitor to regularly check for symptoms to ensure that they are symptom free when visiting you. Ask them to also follow these five key actions, including washing their hands when they first enter your home.  5. Clean and disinfect frequently touched surfaces every day .  This includes tables, doorknobs, light switches, countertops, handles, desks, phones, keyboards, toilets, taps, and sinks. If surfaces are dirty, use detergent or soap and water prior to disinfection. Learn more by clicking  here ."
What can older people do to prepare for COVID-19 in their community?,"There is a lot that you can do to prepare for COVID-19 in your community.  Inform yourself of the special measures taken in your community   as well as the services and the sources of reliable information   that are availableduring the health emergency (e.g. home deliveries, psychosocial support, health ministry website, alternative access to your pension). Create a list of the basic supplies that you will need for at least two weeks and try to get these delivered where possible   (e.g.   non-perishable food items, household products, batteries for assistive devices you may use, and prescription medicines). Alternatively, ask family members, caregivers, neighbours or community leaders to help with ordering and/or delivery of groceries or prescription medicines. Make sure that your mobile phone credit is topped up and identify a safe place to charge your phone regularly so that you can keep in contact with family and friends and reach emergency services if needed.   Make a list of emergency numbers  (e.g. COVID-19 local helpline, nearby hospital and health emergencies numbers, hotline for victims of abuse, psychosocial support hotline)  and support contacts  (e.g. family members and friends, main caregiver, community care worker, associations of older persons). If you live alone, you may wish to share this list and ask your neighbours, family or caregiver to be in touch regularly, for example, by phone or video chat. Discuss with your health-care worker   how your health needs can be addressed during COVID-19. This may involve postponing non-urgent appointments, talking to your doctor or health-care worker by phone or video chat instead of in person and/or revising your vaccination schedule. If you rely on the support provided by a caregiver ,  identify with him or her another person that you trust   to support your daily living and care needs in case your caregiver is unable to continue to provide care. Together, you can note down all the personal care and assistance that you require and how it should be provided and share it with this trusted person so that they can be ready to provide care in case of need. If you are the primary caregiver of another person who is care dependent  (e.g. grandchild, older spouse, child with a disability),  identify a person  that you and the person that you care for trust  to take on your caregiving responsibilities in case you fall sick . Local authorities or volunteer organizations that provide support in these situations in your community might be able to help. If multiple people live in your home, if possible prepare a separate room or space in your home  so that anyone showing symptoms compatible with COVID-19 can be isolated from others. If you do not have space for self-isolation, contact your community leaders or local health authorities to see if there is community space that could help you or other household members self-isolate. Think about what matters most to you regarding care and support, including medical treatment, in case something happens to you and you are unable to make your own decisions.  If you want to develop an advanced care plan to record your treatment and care wishes, you can talk about it with your health-care worker or someone that you trust. You can write down your wishes and  share them with people you trust. "
How can I keep healthy on a daily basis during the COVID-19 pandemic?,"You can follow these 10 steps to keep healthy during the COVID-19 pandemic. Keep to your regular routines as much as possible   and maintain a daily schedule  for yourself including sleeping, meals and activities.  Stay socially connected . Speak to loved ones and people you trust every day or as much as possible, using the telephone, video-calls or messaging, through writing letters, etc. Use this time to share your feelings and to do common hobbies together.  Be physically active every day . Reduce long periods of sitting and set up a daily routine that includes at least 30 minutes of exercise. Make sure to do activities that are safe and appropriate for your level of physical fitness as indicated by your health-care worker. You can use household chores as a way to keep physically active, follow an on-line class (e.g. Tai Chi, yoga) or choose your favourite music and dance to that.  Drink water and eat healthy and well-balanced meals . This will keep you hydrated, help strengthen your immune system and lower the risk of chronic illnesses and infectious diseases.  For nutrition advice click here .  Avoid smoking and drinking alcohol .  Smokers are likely to be more vulnerable to COVID-19 because smoking can affect lung capacity and because the act of smoking increases the possibility of transmission of virus from hand to mouth. Drinking alcohol not only disturbs your sleep but may also increase your risk of falls, weaken your immune system, and interact with any prescription medicines that you are taking. Limit the amount of alcohol you drink or don’t drink alcohol at all.  Take breaks from news coverage  about COVID-19 as prolonged exposure can cause feelings of anxiety and despair. Seek updates at specific times of the day from a reliable source like the  WHO website (click here)  or national or local channels in order to help you distinguish facts from rumours or scams.  Engage in hobbies and activities that you enjoy or learn something new . Cognitive exercise such as reading a book or doing crosswords/Sudoku will keep your mind active and distract you from worrying. You can also use this time to keep a well-being diary  ( click here for an example. ) If you have ongoing health conditions ,  take your prescribed medicines and follow the advice of your health-care worker  regarding any health visits or phone consultations.  If you have an emergency medical condition that is not related to COVID-19 , contact health emergencies immediately and ask what you should do next. Follow the instructions of the health-care worker.   If stress, worry, fear or sadness get in the way of your daily activities for several days in a row, seek psychosocial support   from available services in your community.  If you are subject to abuse or violence from others, tell someone you trust and report this to the relevant authorities. You can also seek support from dedicated helplines that may be available in your country."
What should I do if I have symptoms of COVID-19?,"If you present symptoms related to COVID-19, seek medical advice .   Call by phone first if possible and give information about pre-existing health conditions and medicines that you are taking. Follow the instructions of the health-care worker and monitor your symptoms regularly.  If you have difficulty breathing, contact health emergencies immediately  as this may be due to a respiratory infection. Call by phone first if possible to learn what to do next. If you live with others, make sure that you isolate yourself   as soon as you suspect infection by using the space that you identified in advance. You and other members of the household should also wear a medical mask as much as possible if these are available.  You can learn  how to wear a mask here . If you live with others and home care for COVID-19 is advised by your health-care worker , other household members should follow available guidance on home care for patients with COVID-19 presenting with mild symptoms and management of their contacts  (guidance  here ) .  See related  flyers for people who are ill ,   for household members   and  for caregivers . If you live alone   and home care for COVID-10 is advised by your health-care worker ,  ask your family, friends, neighbours, health-care worker or a local volunteer organisation to check in on you regularly and to provide support as needed following  existing guidance for caregivers   (guidance  here ) ."
I have recently lost someone I care about. What advice do you have to help me cope?,"Losing someone close to you is always hard, whatever the cause. During these extraordinary circumstances, when your usual routine may be disrupted and when funerals may not be permitted, it may be even harder. Following this advice may help.  Do not criticise yourself for how you feel . When you lose a family member or friend to COVID-19, you may experience a range of emotions.  You may also have difficulty sleeping or low levels of energy. All these feelings are normal and there is no right or wrong way to feel grief.  Allow yourself time to process your emotions in response to your loss . You may think that the sadness and pain that you feel will never go away, but in most cases, these feelings lessen over time.  Talk regularly with people that you trust about your feelings. Keep to your routines as much as you feel able and try to focus on activities that bring you joy. Seek advice and comfort from people that you trust   (e.g. religious/faith leaders, mental health workers or other trusted members of your community) while maintaining physical distance (e.g. attending virtual mass) .  Think of alternative ways to say goodbye to the person who passed away   such as writing a letter or dedicating a drawing to your loved one. These are small actions that can help you cope with grief and loss, particularly in situations where funeral services are not permitted"
What precautions are necessary when visiting someone in a health and/or long-term care facility?,"If you have been in contact with someone suspected or confirmed with COVID-19, or are feeling unwell, do not visit any health or long-term care facility. Follow the facility guidelines on any visit requirements, including screening and wearing a mask. Clean your hands before entering and try to keep at least a 1 metre distance from others. If you are 60 or over, or have a chronic condition like heart disease, take extra precautions by wearing a medical mask during your visit."
Are children at lower risk of COVID-19 than adults?,"So far, data suggests that children under the age of 18 years represent about 8.5% of reported cases, with relatively few deaths compared to other age groups and usually mild disease. However, cases of critical illness have been reported. As with adults, pre-existing medical conditions have been suggested as a risk factor for severe disease and intensive care admission in children. Further studies are underway to assess the risk of infection in children and to better understand transmission in this age group."
What is the role of children in transmission?,"The role of children in transmission is not yet fully understood. To date, few outbreaks involving children or schools have been reported. However, the small number of outbreaks reported among teaching or associated staff to date suggests that spread of COVID-19 within educational settings may be limited. As children generally have milder illness and fewer symptoms, cases may sometimes go unnoticed. Importantly, early data from studies suggest that infection rates among teenagers may be higher than in younger children. Considering that many countries are starting to slowly lift restrictions on activities, the longer-term effects of keeping schools open on community transmission are yet to be evaluated. Some modelling studies suggest that school re-opening might have a small effect on wider transmission in the community, but this is not well understood. Further studies are underway on the role of children in transmission in and outside of educational settings. WHO is collaborating with scientists around the world to develop protocols that countries can use to study COVID-19 transmission in educational institutions.  Click here to access this information ."
"Should children with underlying health conditions (asthma, diabetes, obesity) return to school?","Whether a child should go to school depends on their health condition, the current transmission of COVID-19 within their community, and the protective measures the school and community have in place to reduce the risk of COVID-19 transmission. While current evidence suggests that the risk of severe disease for children is lower overall than for adults, special precautions can be taken to minimize the risk of infection among children, and the benefits of returning to school should also be considered. Current evidence suggests that people with underlying conditions such as chronic respiratory illness including asthma (moderate-to-severe), obesity, diabetes or cancer, are at higher risk of developing severe disease and death than people without other health conditions. This also appears to be the case for children, but more information is still needed."
Should teachers and other staff with underlying health conditions return to school?,"Adults 60 years and older and people with underlying health conditions are at higher risk for severe disease and death. The decision to return to a teaching environment depends on the individual and should include consideration of local disease trends, as well as the measures being put in place in schools to prevent further spread."
What is the incubation period for children?,"The incubation period for children is the same as in adults. The time between exposure to COVID-19 and when symptoms start is commonly around 5 to 6 days, and ranges from 1 to 14 days."
What should be considered when deciding whether to re-open schools or keep them open?,"Deciding to close, partially close or reopen schools should be guided by a risk-based approach, to maximize the educational, well-being and health benefit for students, teachers, staff, and the wider community, and help prevent a new outbreak of COVID-19 in the community. Several elements should be assessed in deciding to re-open schools or keep them open: The epidemiology of COVID-19 at the local level: This may vary from one place to another within a country Benefits and risks: what are the likely benefits and risks to children and staff of open schools? Including consideration of: Transmission intensity in the area where the school operates: No cases, sporadic transmission; clusters transmission or community transmission Overall impact of school closures on education, general health and wellbeing; and on vulnerable and marginalized populations (e.g. girls, displaced or disabled) Effectiveness of remote learning strategies Detection and response: Are the local health authorities able to act quickly? The capacity of schools/educational institutions to operate safely Collaboration and coordination: Is the school collaborating with local public health authorities? The range of other public health measures being implemented outside school"
What benefits would school re-opening provide?,"School closures have clear negative impacts on child health, education and development, family income and the overall economy. The decision to reopen schools should include consideration of the following benefits: Allowing students to complete their studies and continue to the next level Essential services, access to nutrition, child welfare, such as preventing violence against children Social and psychological well-being Access to reliable information on how to keep themselves and others safe Reducing the risk of non-return to school Benefit to society, such as allowing parents to work"
